Time,Time Code,Country Name,Country Code,"Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]","Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]"
2002,YR2002,Argentina,ARG,95.58,174.967
2002,YR2002,Australia,AUS,53.059,90.801
2002,YR2002,Austria,AUT,58.829,120.026
2002,YR2002,Belgium,BEL,66.905,124.715
2002,YR2002,Bulgaria,BGR,93.926,218.165
2002,YR2002,Canada,CAN,59.492,96.835
2002,YR2002,Chile,CHL,66.832,134.721
2002,YR2002,China,CHN,81.579,143.119
2002,YR2002,Colombia,COL,95.669,219.658
2002,YR2002,Costa Rica,CRI,62.167,113.194
2002,YR2002,Cyprus,CYP,65.394,109.878
2002,YR2002,Czechia,CZE,72.549,164.947
2002,YR2002,Dominican Republic,DOM,150.455,233.165
2002,YR2002,Denmark,DNK,75.793,124.075
2002,YR2002,Ecuador,ECU,108.951,187.344
2002,YR2002,Estonia,EST,110.566,312.834
2002,YR2002,Finland,FIN,60.744,133.525
2002,YR2002,France,FRA,60.634,136.68
2002,YR2002,Germany,DEU,61.736,120.763
2002,YR2002,Greece,GRC,46.773,109.411
2002,YR2002,"Hong Kong SAR, China",HKG,42.371,84.3
2002,YR2002,Croatia,HRV,69.138,176.413
2002,YR2002,Hungary,HUN,110.102,259.032
2002,YR2002,Indonesia,IDN,170.367,208.586
2002,YR2002,India,IND,179.626,245.4
2002,YR2002,Ireland,IRL,60.492,113.266
2002,YR2002,Iceland,ISL,54.311,82.738
2002,YR2002,Israel,ISR,54.033,98.074
2002,YR2002,Italy,ITA,49.132,95.824
2002,YR2002,Jamaica,JAM,131.708,203.996
2002,YR2002,Japan,JPN,45.427,95.051
2002,YR2002,"Korea, Rep.",KOR,58.404,141.3
2002,YR2002,Latvia,LVA,118.341,332.094
2002,YR2002,Luxembourg,LUX,68.078,128.774
2002,YR2002,Lithuania,LTU,103.637,304.387
2002,YR2002,Malta,MLT,50.708,89.571
2002,YR2002,Mexico,MEX,106.132,181.319
2002,YR2002,Malaysia,MYS,99.358,172.247
2002,YR2002,Netherlands,NLD,66.999,94.149
2002,YR2002,Norway,NOR,58.943,99.014
2002,YR2002,New Zealand,NZL,64.566,100.426
2002,YR2002,Peru,PER,121.398,175.227
2002,YR2002,Philippines,PHL,134.718,180.463
2002,YR2002,Portugal,PRT,63.218,148.977
2002,YR2002,Romania,ROU,109.809,249.208
2002,YR2002,Russian Federation,RUS,170.888,462.026
2002,YR2002,Singapore,SGP,52.14,95.822
2002,YR2002,Slovenia,SVN,68.804,161.651
2002,YR2002,Spain,ESP,46.403,114.494
2002,YR2002,Slovak Republic,SVK,78.837,211.888
2002,YR2002,Sweden,SWE,53.316,84.604
2002,YR2002,Thailand,THA,120.213,234.362
2002,YR2002,Trinidad and Tobago,TTO,136.97,225.532
2002,YR2002,Turkiye,TUR,75.909,167.93
2002,YR2002,Switzerland,CHE,51.977,91.8
2002,YR2002,United Kingdom,GBR,64.844,105.896
2002,YR2002,United States,USA,83.72,144.378
2002,YR2002,South Africa,ZAF,407.094,514.914
2002,YR2002,Sri Lanka,LKA,96.953,238.44
2002,YR2002,Brazil,BRA,115.572,227.348
2002,YR2002,"Macao SAR, China",MAC,35.625,74.366
2002,YR2002,Poland,POL,81.427,205.384
2002,YR2002,Uruguay,URY,86.805,170.307
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 11/13/2024,,,,,
